产品名称,产品ID,芯片系列,产品系列,图形芯片,核心工艺,CUDA核心,基础频率,一键OC核心频率,显存频率,显存容量,显存类型,显存位宽,总线标准,3D API,显示接口,外接供电,TDP功耗,图片列表,NVIDIA SLI,数字最大分辨率,多显示器,呼吸灯,风扇调速,风扇智能启停,VGA最大分辨率,水冷头
Colorful GeForce GTX1060-3GD5 GAMING X,416,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,,8008MHz,3GB,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",2DVI+HDMI+DP,6pin,120W,"['https://www.colorful.cn/Resource/2017/05/201705041441103011.JPG', 'https://www.colorful.cn/Resource/2017/05/201705041441108627.JPG', 'https://www.colorful.cn/Resource/2017/05/201705041441115023.JPG', 'https://www.colorful.cn/Resource/2017/05/201705041441095367.JPG']",N,7680x4320,4,Y,Y,N,,
Colorful GeForce GTX1060-3GD5 GAMING V2,413,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,,8008MHz,3G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2017/02/201702151620348817.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151620357553.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151620371749.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151620343201.JPG']",,7680x4320,,,是,,不支持,
网驰 GeForce GTX1060-6GD5电竞版 V2,410,GeForce® GTX 1060,网驰系列,GeForce GTX  1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ,,8008MHz,6G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3*DP,6pin,120W,"['https://www.colorful.cn/Resource/2017/02/201702151650113275.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151650124663.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151650131527.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151650109999.JPG']",,7680x4320@60Hz,,,是,,,
Colorful GeForce GTX1060-6GD5 GAMING V2,411,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ,,8008MHz,6G,GDDR5,192Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2017/02/201702151628238831.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151628245695.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151628256460.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151628231655.JPG']",,7680x4320,,,是,,,
七彩虹 GeForce GTX1060 雷暴鲨-3GD5,412,GeForce® GTX 1060,七彩虹系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,,8008MHz,3G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2017/02/201702141351326127.JPG', 'https://www.colorful.cn/Resource/2017/02/201702141351340011.JPG', 'https://www.colorful.cn/Resource/2017/02/201702141351342819.JPG', 'https://www.colorful.cn/Resource/2017/02/201702141351320511.JPG']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神S-3GD5 Top,408,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1152,Base：1594MHZ;Boost:1809MHZ,,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/11/201611021649394504.JPG', 'https://www.colorful.cn/Resource/2016/11/201611021649405580.JPG', 'https://www.colorful.cn/Resource/2016/11/201611021649409480.JPG', 'https://www.colorful.cn/Resource/2016/11/201611021649418996.JPG']",,7680x4320,,,是,,不支持,
七彩虹 GeForce GTX1060 雷暴鲨-6GD5,407,GeForce® GTX 1060,七彩虹系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ,,8008MHz,6G,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/10/201610271117096060.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271117100584.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271117107292.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271117075468.JPG']",,7680x4320,,,是,,不支持,
Colorful GeForce GTX1060-3GD5 GAMING,406,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/10/201610261423521107.JPG', 'https://www.colorful.cn/Resource/2016/10/201610261423536863.JPG', 'https://www.colorful.cn/Resource/2016/10/201610261423514711.JPG', 'https://www.colorful.cn/Resource/2016/10/201610261423529999.JPG']",,7680x4320,,,,是,不支持,
网驰 GeForce GTX1060-3GD5 电竞-水冷板 WA1,404,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,,120W,"['https://www.colorful.cn/Resource/2016/09/201609291503049883.JPG', 'https://www.colorful.cn/Resource/2016/09/201609291503058775.JPG', 'https://www.colorful.cn/Resource/2016/09/201609291503064547.JPG', 'https://www.colorful.cn/Resource/2016/09/201609291503044111.JPG']",,7680x4320,,,,,不支持,
iGame GeForce GTX1060 烈焰战神X-6GD5,405,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ;,Base：1594MHZ;Boost:1809MHZ,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,120W,"['https://www.colorful.cn/Resource/2016/09/201609181400016225.JPG', 'https://www.colorful.cn/Resource/2016/09/201609181400024337.JPG', 'https://www.colorful.cn/Resource/2016/09/201609181400034009.JPG', 'https://www.colorful.cn/Resource/2016/09/201609181400043993.JPG', 'https://www.colorful.cn/Resource/2016/09/201609181400008893.JPG']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神X-3GD5 Top,402,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,Base:1620MHz；Boost:1847MHz,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,120W,"['https://www.colorful.cn/Resource/2016/11/201611221357357221.JPG', 'https://www.colorful.cn/Resource/2016/11/201611221357362057.JPG', 'https://www.colorful.cn/Resource/2016/11/201611221357367829.JPG', 'https://www.colorful.cn/Resource/2016/11/201611221357372041.JPG', 'https://www.colorful.cn/Resource/2016/11/201611221357348641.JPG']",,7680x4320,,是,是,,不支持,Bykski
iGame GeForce GTX1060 烈焰战神U-6GD5,403,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost：1708MHZ,Base:1556MHz;Boost:1771MHz,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/08/201608171801135211.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171801148627.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171801158611.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171801163291.JPG', 'https://www.colorful.cn/Resource/2016/08/201608171801141919.JPG']",,7680x4320,,,,,不支持,
Colorful GeForce GTX1060-6GD5 GAMING,394,GeForce® GTX 1060,Colorful系列,GeForce GTX 1060,16nm,1280,Base：1506MHz，Boost:1708MHz,,8008MHZ,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/07/201607221757333021.JPG', 'https://www.colorful.cn/Resource/2016/07/201607221757337233.JPG', 'https://www.colorful.cn/Resource/2016/07/201607221757348309.JPG', 'https://www.colorful.cn/Resource/2016/07/201607221757325845.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171609199249.jpg']",,7680x4320,,,是,,不支持,
网驰 GeForce GTX1060-3GD5 电竞版,397,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1152,Base:1506MHz；Boost:1708MHz,,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,,120W,"['https://www.colorful.cn/Resource/2016/08/201608311459449535.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311459454059.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311459460455.JPG', 'https://www.colorful.cn/Resource/2016/08/201608311459438771.JPG']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神U-3GD5,398,GeForce® GTX 1060,iGame 系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,Base:1556MHz；Boost:1771MHz,8008MHz,3072M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/08/201608241518066361.JPG', 'https://www.colorful.cn/Resource/2016/08/201608241518074473.JPG', 'https://www.colorful.cn/Resource/2016/08/201608241518082117.JPG', 'https://www.colorful.cn/Resource/2016/08/201608241518057313.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171604123704.jpg']",,7680x4320,,,,,不支持,支持
iGame GeForce GTX1060 烈焰战神S-6GD5 Top,400,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1594MHZ;Boost:1809MHZ,,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,120W,"['https://www.colorful.cn/Resource/2016/08/201608041145251290.JPG', 'https://www.colorful.cn/Resource/2016/08/201608041145257686.JPG', 'https://www.colorful.cn/Resource/2016/08/201608041145263926.JPG', 'https://www.colorful.cn/Resource/2016/08/201608041145243802.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171601453713.jpg']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神U-3GD5 Top,399,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1152,Base：1506MHZ;Boost:1708MHZ,Base:1594MHz；Boost:1809Mhz,8008MHz,3072M,GDRR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,120W,"['https://www.colorful.cn/Resource/2016/08/201608241541594117.JPG', 'https://www.colorful.cn/Resource/2016/08/201608241542016737.JPG', 'https://www.colorful.cn/Resource/2016/08/201608241541582885.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171602575214.jpg']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神U-6GD5 Top,401,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ,Base:1594MHz；Boost:1809MHz,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,120W,"['https://www.colorful.cn/Resource/2016/08/201608051045416451.JPG', 'https://www.colorful.cn/Resource/2016/08/201608051045439851.JPG', 'https://www.colorful.cn/Resource/2016/08/201608051045408183.JPG', 'https://www.colorful.cn/uploads/AttachFile/201804171600120988.jpg']",,7680x4320,,,是,,不支持,
iGame GeForce GTX1060 烈焰战神X-6GD5 Top,395,GeForce® GTX 1060,iGame系列,GeForce GTX 1060,16nm,1280,Base：1506MHZ;Boost:1708MHZ,Base：1620MHZ;Boost:1847MHZ,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6+6pin,120W,"['https://www.colorful.cn/Resource/2016/07/201607121656111986.JPG', 'https://www.colorful.cn/Resource/2016/07/201607121656119319.JPG', 'https://www.colorful.cn/Resource/2016/07/201607121656123531.JPG', 'https://www.colorful.cn/Resource/2016/07/201607121656126807.JPG', 'https://www.colorful.cn/Resource/2016/07/201607121656108086.JPG']",,7680x4320,,是,是,,不支持,Bykski
网驰 GeForce GTX1060-6GD5 电竞版,396,GeForce® GTX 1060,网驰系列,GeForce GTX 1060,16nm,1280,Base:1506MHz；Boost:1708MHz,,8008MHz,6144M,GDDR5,192bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,,120W,"['https://www.colorful.cn/Resource/2016/07/201607211447177891.JPG', 'https://www.colorful.cn/Resource/2016/07/201607211447187875.JPG', 'https://www.colorful.cn/Resource/2016/07/201607211447190995.JPG', 'https://www.colorful.cn/Resource/2016/07/201607211447173991.JPG']",,7680x4320,,,是,,不支持,
Colorful GeForce GTX1050Ti GAMING 4G V5,1541,GeForce® GTX 1050Ti,Colorful系列,GeForce GTX 1050Ti,14,768,Base：1290MHZ; Boost:1392MHZ,,7000MHZ,4G,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201805171750597305.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171751069221.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171751135989.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171751183257.JPG']",,,,,,,,
iGame GeForce GTX1050Ti 烈焰战神U-4GD5 LE,1540,GeForce® GTX 1050Ti,iGame系列,GeForce GTX 1050Ti,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000,4GB,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6PIN,75W,"['https://www.colorful.cn/uploads/AttachFile/201805081000100586.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805081000145670.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805081000224138.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805081000305882.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805081000417735.JPG']",,,,,,,,
七彩虹 GeForce GTX1050Ti 灵动鲨 4G V3,1529,GeForce® GTX 1050Ti,七彩虹系列,GeForce GTX 1050Ti,14nm,768,1290MHz,,7000MHz,4GB,GDDR5,128BIT,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6PIN,75W,"['https://www.colorful.cn/uploads/AttachFile/201803121806376615.JPG', 'https://www.colorful.cn/uploads/AttachFile/201803121806433555.JPG', 'https://www.colorful.cn/uploads/AttachFile/201803121807051643.JPG', 'https://www.colorful.cn/uploads/AttachFile/201803121807170515.JPG', 'https://www.colorful.cn/uploads/AttachFile/201803121807303896.JPG']",,,,,,,,
七彩虹 GeForce GTX1050Ti 灵动鲨-4GD5 LE V2,1509,GeForce® GTX 1050Ti,七彩虹系列,GeForce GTX 1050Ti, 14nm , 768 ,1290MHz,,7000MHz,4GB,GDDR5,128bit, PCI-E X16(3.0) ,"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/uploads/AttachFile/thumb201712072354386596.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201712072355290321.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712080004152211.JPG', 'https://www.colorful.cn/uploads/photo/2017/12/201712080004277011.JPG']",,7680x4320@60Hz,,,Y,,,
网驰 GeForce GTX1050Ti-4GD5 Green V2,1504,GeForce® GTX 1050Ti,网驰系列,GeForce GTX 1050Ti,14nm,768,Base：1290MHz；Boost:1392MHz,,7000MHz,4GB,GDDR5,128bit, PCI-E X16(3.0) ,"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,N,75W,"['https://www.colorful.cn/uploads/AttachFile/201711211358055123.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211358116587.JPG', 'https://www.colorful.cn/uploads/AttachFile/201711211358160891.JPG']",, 7680x4320@60Hz ,,,,,,
网驰 GeForce GTX1050Ti-4GD5 V2,1500,GeForce® GTX 1050Ti,网驰系列,GeForce GTX 1050Ti,14nm,768,Base:1290MHz;Boost:1392MHz,,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0)," Direct X 12.1, OpenGL 4.5 ",DVI+HDMI+DP,N,75W,"['https://www.colorful.cn/uploads/photo/2017/11/201711141029521431.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711141029589915.JPG', 'https://www.colorful.cn/uploads/photo/2017/11/201711141030051691.JPG']",NO,7680x4320@60Hz,,,Y,,,
战斧 GeForce GTX1050Ti 4G V2,1487,GeForce® GTX 1050Ti,战斧系列,GeForce® GTX 1050Ti,14nm,768,Base：1366MHz；Boost:1468,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/uploads/AttachFile/thumb201710201339583924.jpg', 'https://www.colorful.cn/uploads/AttachFile/thumb201710201339587356.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710201340008260.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710201340014032.JPG', 'https://www.colorful.cn/uploads/AttachFile/thumb201710201340019804.JPG']",N,7680x4320,,,Y,,,
七彩虹 GeForce GTX1050Ti 灵动鲨-LE 4G,1485,GeForce® GTX 1050Ti,七彩虹系列,GeForce GTX 1050Ti,14nm,768,Base:1290MHz,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201710131754490430.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710131754496358.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710131754501818.JPG', 'https://www.colorful.cn/uploads/AttachFile/201710131754507434.JPG']",不支持,7680x4320@60Hz,,,Y,N,,
Colorful GeForce GTX1050Ti GAMING 4G V3,1471,GeForce® GTX 1050Ti,Colorful系列,GeForce GTX 1050Ti,14nm,768,Base:1290MHz；Boost:1392MHz,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201709181415526146.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709181415530826.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709181415534102.JPG', 'https://www.colorful.cn/uploads/AttachFile/201709181415538002.JPG']",N,7680x4320,,,,,,
iGame GeForce GTX1050Ti 冰封骑士Mini-4GD5,427,GeForce® GTX 1050Ti,iGame系列,GeForce GTX 1050Ti,14nm,768,Base：1290MHZ;Boost:1392MHZ,Base:1316MHz;Boost:1430MHz,7000MHz,4G,GDDR5,128Bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6Pin,75W,"['https://www.colorful.cn/Resource/2017/02/201702151643394998.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151643406698.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151643411222.JPG', 'https://www.colorful.cn/Resource/2017/02/201702151643387042.JPG']",,7680*4320,,,,,,
Colorful GeForce GTX1050Ti-4GD5 GAMING,421,GeForce® GTX 1050Ti,Colorful系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612221437039698.JPG', 'https://www.colorful.cn/Resource/2016/12/201612221437045470.JPG', 'https://www.colorful.cn/Resource/2016/12/201612221437067934.JPG', 'https://www.colorful.cn/Resource/2016/12/201612221437054518.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050Ti-4GD5 Green,422,GeForce® GTX 1050Ti,网驰系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211713443666.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211713449906.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211713456146.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211713461606.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050Ti-4GD5,423,GeForce® GTX 1050Ti,网驰系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211704276806.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211704285854.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211704289598.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211704268226.JPG']",,7680x4320@60Hz,,,是,,,
七彩虹 GeForce GTX1050Ti 灵动鲨-4GD5,424,GeForce® GTX 1050Ti,七彩虹系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost：1392MHZ,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/12/201612211743116438.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211743129698.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211743134846.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211743138902.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211743111446.JPG']",,7680x4320@60Hz,,,是,,,
Colorful GeForce GTX1050Ti-4GD5 GAMING V2,425,GeForce® GTX 1050Ti,Colorful系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000MHz,4G,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/12/201612211723355910.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211723366050.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211723378374.JPG', 'https://www.colorful.cn/Resource/2016/12/201612211723349982.JPG']",,7680x4320@60Hz,,,是,,,
战斧 GeForce GTX1050Ti-4GD5,418,GeForce® GTX 1050Ti,战斧系列,GeForce GTX  1050TI,14nm,768,Base：1328MHZ;Boost：1442MHZ,,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/10/201610271107265834.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271107273946.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271107278159.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271107257878.JPG']",,7680x4320@60Hz,,,是,,,
iGame GeForce GTX1050Ti 烈焰战神U-4GD5 TOP,426,GeForce® GTX 1050Ti,iGame系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,Base：1404MHz；Boost：1518MHz,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+3DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/12/201612051030505772.JPG', 'https://www.colorful.cn/Resource/2016/12/201612051030513260.JPG', 'https://www.colorful.cn/Resource/2016/12/201612051030516224.JPG', 'https://www.colorful.cn/Resource/2016/12/201612051030523712.JPG', 'https://www.colorful.cn/Resource/2016/12/201612051030496256.JPG']",,7680x4320@60Hz,,,是,,,
iGame GeForce GTX1050Ti 烈焰战神S-4GD5,420,GeForce® GTX 1050Ti,iGame系列,GeForce 1050TI,14nm,768,Base:1366MHz; Boost:1480MHz,,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/10/201610271008130835.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271008136763.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271008147527.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271008158915.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271008122879.JPG']",,7680x4320@60Hz,,,是,,,
iGame GeForce GTX1050Ti 烈焰战神U-4GD5,417,GeForce® GTX 1050Ti,iGame系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,Boost：1493MHz，Base：1379MHz,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,6pin,75W,"['https://www.colorful.cn/Resource/2016/10/201610271025157012.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271025172300.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271025153892.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271025164812.JPG']",,7680x4320@60Hz,,,是,,,
网驰 GeForce GTX1050Ti-4GD5 电竞版,419,GeForce® GTX 1050Ti,网驰系列,GeForce GTX  1050TI,14nm,768,Base：1290MHZ;Boost:1392MHZ,,7000MHz,4GB,GDDR5,128bit,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/Resource/2016/10/201610271057472893.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271057486777.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271057493797.JPG', 'https://www.colorful.cn/Resource/2016/10/201610271057481473.JPG']",,7680x4320@60Hz,,,是,,,
七彩虹 GeForce GTX1050 灵动鲨-2GD5 LE V4,1544,GeForce® GTX 1050,七彩虹系列,GeForce GTX 1050,14,640,Base:1354MHZ; Boost:1455MHZ,,7000,2G,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201805171825329386.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171825498686.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171825588208.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171826039300.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171826087493.JPG']",,,,,,,,
七彩虹 GeForce GTX1050 灵动鲨 2G V6,1543,GeForce® GTX 1050,七彩虹系列,GeForce GTX 1050,14nm,640,Base:1354MHZ; Boost:1455MHZ,,7000,2G,GDDR5,128,PCI-E X16(3.0),"Direct X 12.1, OpenGL 4.5",DVI+HDMI+DP,,75W,"['https://www.colorful.cn/uploads/AttachFile/201805171814219390.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171814296142.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171814399726.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171814483966.JPG', 'https://www.colorful.cn/uploads/AttachFile/201805171814532170.JPG']",,,,,,,,
